"id_company","name_company","image_logo","description","website","industry","number_employees","id_regency","since"
"1","Alpha PT Prima Industri Industries","logo_pt_prima_industri.jpg","PT Prima Industri is a leading company in the Education industry, providing high-quality products and services.","www.ptprimaindustri.com","Logistics","1729","1","1994"
"2","Beta PT Sinar Sukses Holdings","logo_pt_sinar_sukses.jpg","PT Sinar Sukses is a leading company in the Finance industry, providing high-quality products and services.","www.ptsinarsukses.com","Retail","1974","4","2009"
"3","NextGen PT Sinar Sukses Group","logo_pt_sinar_sukses.jpg","PT Sinar Sukses is a leading company in the Construction industry, providing high-quality products and services.","www.ptsinarsukses.com","Healthcare","1710","1","2002"
"4","Pioneer PT Sinar Sukses Corporation","logo_pt_sinar_sukses.jpg","PT Sinar Sukses is a leading company in the Finance industry, providing high-quality products and services.","www.ptsinarsukses.com","Energy","1488","8","1994"
"5","Prime PT Nusantara Teknologi Enterprises","logo_pt_nusantara_teknologi.jpg","PT Nusantara Teknologi is a leading company in the Finance industry, providing high-quality products and services.","www.ptnusantarateknologi.com","Food & Beverage","1167","5","1992"
"6","Elite PT Indotech Global Solutions","logo_pt_indotech_global.jpg","PT Indotech Global is a leading company in the Construction industry, providing high-quality products and services.","www.ptindotechglobal.com","Logistics","387","8","2013"
"7","Vision PT Global Sumber Daya Limited","logo_pt_global_sumber_daya.jpg","PT Global Sumber Daya is a leading company in the Finance industry, providing high-quality products and services.","www.ptglobalsumberdaya.com","Finance","1623","9","2009"
"8","Summit PT Nusantara Teknologi Global","logo_pt_nusantara_teknologi.jpg","PT Nusantara Teknologi is a leading company in the Healthcare industry, providing high-quality products and services.","www.ptnusantarateknologi.com","Logistics","699","1","1997"
"9","Dynamic PT Jaya Mulya Innovations","logo_pt_jaya_mulya.jpg","PT Jaya Mulya is a leading company in the Food & Beverage industry, providing high-quality products and services.","www.ptjayamulya.com","Food & Beverage","1303","8","2015"
"10","Future PT Prima Industri Ventures","logo_pt_prima_industri.jpg","PT Prima Industri is a leading company in the Energy industry, providing high-quality products and services.","www.ptprimaindustri.com","Education","296","2","1993"
"11","Alpha PT Gemilang Bersama Industries","logo_pt_gemilang_bersama.jpg","PT Gemilang Bersama is a leading company in the Manufacturing industry, providing high-quality products and services.","www.ptgemilangbersama.com","Energy","1185","8","2016"
"12","Beta PT Cipta Karya Abadi Holdings","logo_pt_cipta_karya_abadi.jpg","PT Cipta Karya Abadi is a leading company in the Healthcare industry, providing high-quality products and services.","www.ptciptakaryaabadi.com","Education","1230","6","2012"
"13","NextGen PT Indotech Global Group","logo_pt_indotech_global.jpg","PT Indotech Global is a leading company in the Technology industry, providing high-quality products and services.","www.ptindotechglobal.com","Retail","898","6","1992"
"14","Pioneer PT Indotech Global Corporation","logo_pt_indotech_global.jpg","PT Indotech Global is a leading company in the Manufacturing industry, providing high-quality products and services.","www.ptindotechglobal.com","Education","1137","5","1999"
"16","Prime PT Cipta Karya Abadi Enterprises","logo_pt_cipta_karya_abadi.jpg","PT Cipta Karya Abadi is a leading company in the Education industry, providing high-quality products and services.","www.ptciptakaryaabadi.com","Healthcare","365","5","2001"
"18","Elite PT Sinar Sukses Solutions","logo_pt_sinar_sukses.jpg","PT Sinar Sukses is a leading company in the Retail industry, providing high-quality products and services.","www.ptsinarsukses.com","Construction","1600","3","2000"
"19","Vision PT Harapan Sejahtera Limited","logo_pt_harapan_sejahtera.jpg","PT Harapan Sejahtera is a leading company in the Technology industry, providing high-quality products and services.","www.ptharapansejahtera.com","Food & Beverage","862","3","1998"
"20","Summit PT Indotech Global Global","logo_pt_indotech_global.jpg","PT Indotech Global is a leading company in the Technology industry, providing high-quality products and services.","www.ptindotechglobal.com","Manufacturing","250","3","2002"
"21","Dynamic PT Sukses Makmur Innovations","logo_pt_sukses_makmur.jpg","PT Sukses Makmur is a leading company in the Retail industry, providing high-quality products and services.","www.ptsuksesmakmur.com","Education","1033","1","2001"
"22","Future PT Indotech Global Ventures","logo_pt_indotech_global.jpg","PT Indotech Global is a leading company in the Technology industry, providing high-quality products and services.","www.ptindotechglobal.com","Energy","1938","1","1999"
"23","Alpha PT Prima Industri Industries","logo_pt_prima_industri.jpg","PT Prima Industri is a leading company in the Finance industry, providing high-quality products and services.","www.ptprimaindustri.com","Retail","290","8","2011"
"24","Beta PT Global Sumber Daya Holdings","logo_pt_global_sumber_daya.jpg","PT Global Sumber Daya is a leading company in the Logistics industry, providing high-quality products and services.","www.ptglobalsumberdaya.com","Technology","1430","8","1990"
"25","NextGen PT Gemilang Bersama Group","logo_pt_gemilang_bersama.jpg","PT Gemilang Bersama is a leading company in the Manufacturing industry, providing high-quality products and services.","www.ptgemilangbersama.com","Manufacturing","1221","7","2008"
"26","Pioneer PT Indotech Global Corporation","logo_pt_indotech_global.jpg","PT Indotech Global is a leading company in the Construction industry, providing high-quality products and services.","www.ptindotechglobal.com","Food & Beverage","210","4","2004"
"27","Prime PT Harapan Sejahtera Enterprises","logo_pt_harapan_sejahtera.jpg","PT Harapan Sejahtera is a leading company in the Finance industry, providing high-quality products and services.","www.ptharapansejahtera.com","Retail","1146","6","2007"
"29","Elite PT Sukses Makmur Solutions","logo_pt_sukses_makmur.jpg","PT Sukses Makmur is a leading company in the Technology industry, providing high-quality products and services.","www.ptsuksesmakmur.com","Energy","367","9","2007"
"30","Vision PT Sukses Makmur Limited","logo_pt_sukses_makmur.jpg","PT Sukses Makmur is a leading company in the Finance industry, providing high-quality products and services.","www.ptsuksesmakmur.com","Logistics","1512","2","2000"
"32","Summit PT Global Sumber Daya Global","logo_pt_global_sumber_daya.jpg","PT Global Sumber Daya is a leading company in the Energy industry, providing high-quality products and services.","www.ptglobalsumberdaya.com","Logistics","1787","7","2011"
"35","Dynamic PT Prima Industri Innovations","logo_pt_prima_industri.jpg","PT Prima Industri is a leading company in the Healthcare industry, providing high-quality products and services.","www.ptprimaindustri.com","Finance","1921","9","2020"
"36","Future PT Sukses Makmur Ventures","logo_pt_sukses_makmur.jpg","PT Sukses Makmur is a leading company in the Technology industry, providing high-quality products and services.","www.ptsuksesmakmur.com","Manufacturing","1439","4","2002"
"39","Alpha PT Jaya Mulya Industries","logo_pt_jaya_mulya.jpg","PT Jaya Mulya is a leading company in the Manufacturing industry, providing high-quality products and services.","www.ptjayamulya.com","Finance","326","1","2006"
"41","Beta PT Jaya Mulya Holdings","logo_pt_jaya_mulya.jpg","PT Jaya Mulya is a leading company in the Retail industry, providing high-quality products and services.","www.ptjayamulya.com","Manufacturing","527","7","2016"
"43","NextGen PT Jaya Mulya Group","logo_pt_jaya_mulya.jpg","PT Jaya Mulya is a leading company in the Retail industry, providing high-quality products and services.","www.ptjayamulya.com","Healthcare","1263","5","2012"
"47","Pioneer PT Harapan Sejahtera Corporation","logo_pt_harapan_sejahtera.jpg","PT Harapan Sejahtera is a leading company in the Energy industry, providing high-quality products and services.","www.ptharapansejahtera.com","Healthcare","1195","7","2018"
"49","Prime PT Nusantara Teknologi Enterprises","logo_pt_nusantara_teknologi.jpg","PT Nusantara Teknologi is a leading company in the Construction industry, providing high-quality products and services.","www.ptnusantarateknologi.com","Technology","263","7","1994"
"50","Elite PT Harapan Sejahtera Solutions","logo_pt_harapan_sejahtera.jpg","PT Harapan Sejahtera is a leading company in the Energy industry, providing high-quality products and services.","www.ptharapansejahtera.com","Energy","1508","1","2013"
"51","Vision PT Indotech Global Limited","logo_pt_indotech_global.jpg","PT Indotech Global is a leading company in the Education industry, providing high-quality products and services.","www.ptindotechglobal.com","Manufacturing","403","2","2007"
"52","Summit PT Nusantara Teknologi Global","logo_pt_nusantara_teknologi.jpg","PT Nusantara Teknologi is a leading company in the Energy industry, providing high-quality products and services.","www.ptnusantarateknologi.com","Construction","881","3","2008"
"53","Dynamic PT Nusantara Teknologi Innovations","logo_pt_nusantara_teknologi.jpg","PT Nusantara Teknologi is a leading company in the Healthcare industry, providing high-quality products and services.","www.ptnusantarateknologi.com","Education","1037","2","1994"
"55","Future PT Gemilang Bersama Ventures","logo_pt_gemilang_bersama.jpg","PT Gemilang Bersama is a leading company in the Retail industry, providing high-quality products and services.","www.ptgemilangbersama.com","Construction","1808","9","2020"
"56","Alpha PT Harapan Sejahtera Industries","logo_pt_harapan_sejahtera.jpg","PT Harapan Sejahtera is a leading company in the Energy industry, providing high-quality products and services.","www.ptharapansejahtera.com","Technology","1761","5","2010"
"58","Beta PT Sukses Makmur Holdings","logo_pt_sukses_makmur.jpg","PT Sukses Makmur is a leading company in the Education industry, providing high-quality products and services.","www.ptsuksesmakmur.com","Food & Beverage","1483","3","2004"
"62","NextGen PT Sinar Sukses Group","logo_pt_sinar_sukses.jpg","PT Sinar Sukses is a leading company in the Construction industry, providing high-quality products and services.","www.ptsinarsukses.com","Manufacturing","1784","6","2010"
"63","Pioneer PT Sukses Makmur Corporation","logo_pt_sukses_makmur.jpg","PT Sukses Makmur is a leading company in the Logistics industry, providing high-quality products and services.","www.ptsuksesmakmur.com","Healthcare","796","5","2019"
"65","Prime PT Cipta Karya Abadi Enterprises","logo_pt_cipta_karya_abadi.jpg","PT Cipta Karya Abadi is a leading company in the Logistics industry, providing high-quality products and services.","www.ptciptakaryaabadi.com","Food & Beverage","808","7","2011"
"66","Elite PT Prima Industri Solutions","logo_pt_prima_industri.jpg","PT Prima Industri is a leading company in the Retail industry, providing high-quality products and services.","www.ptprimaindustri.com","Finance","1889","6","1994"
"74","Vision PT Gemilang Bersama Limited","logo_pt_gemilang_bersama.jpg","PT Gemilang Bersama is a leading company in the Education industry, providing high-quality products and services.","www.ptgemilangbersama.com","Healthcare","652","3","1998"
"75","Summit PT Gemilang Bersama Global","logo_pt_gemilang_bersama.jpg","PT Gemilang Bersama is a leading company in the Healthcare industry, providing high-quality products and services.","www.ptgemilangbersama.com","Retail","1143","1","1991"
